"Stock","Index","Season","MAE.x","MAE.y","RMSE.x","RMSE.y","KGE.x","KGE.y"
"Spring Chinook","CMISST","aut",0.73,0.68,0.9,0.9,0.3,0.3
"Spring Chinook","CMISST","spr",0.58,0.66,0.76,0.94,0.52,0.2
"Spring Chinook","CMISST","sum",0.69,0.7,0.89,0.96,0.32,0.15
"Spring Chinook","CMISST","win",0.62,0.68,0.86,0.94,0.37,0.16
"Spring Chinook","CMISSH","aut",0.64,0.68,0.79,0.9,0.48,0.28
"Spring Chinook","CMISSH","spr",0.64,0.66,0.84,0.91,0.41,0.29
"Spring Chinook","CMISSH","sum",0.67,0.66,0.85,0.9,0.39,0.28
"Spring Chinook","CMISSH","win",0.6,0.67,0.79,0.93,0.47,0.23
"Spring Chinook","PDO","aut",0.78,0.71,0.96,0.93,0.07,0.17
"Spring Chinook","PDO","spr",0.68,0.7,0.84,0.98,0.38,-0.03
"Spring Chinook","PDO","sum",0.69,0.71,0.87,0.96,0.32,0.03
"Spring Chinook","PDO","win",0.74,0.74,0.98,1.02,-0.07,-0.37
"Spring Chinook","ONI","aut",0.74,0.76,0.99,1.03,-0.12,-0.44
"Spring Chinook","ONI","spr",0.74,0.78,0.92,1,0.2,-0.1
"Spring Chinook","ONI","sum",0.74,0.78,0.97,1.03,-0.02,-0.42
"Spring Chinook","ONI","win",0.77,0.76,1.01,1.02,-0.18,-0.2
"Spring Chinook","NPGO","aut",0.64,0.74,0.84,0.96,0.39,0.03
"Spring Chinook","NPGO","spr",0.62,0.72,0.82,0.94,0.42,0.13
"Spring Chinook","NPGO","sum",0.65,0.7,0.83,0.93,0.4,0.15
"Spring Chinook","NPGO","win",0.65,0.73,0.84,0.97,0.39,-0.02
"Spring Chinook","SSTarc","aut",0.73,0.72,0.97,0.96,0.01,0.04
"Spring Chinook","SSTarc","spr",0.65,0.72,0.86,0.97,0.33,-0.01
"Spring Chinook","SSTarc","sum",0.75,0.77,0.98,1.02,-0.08,-0.35
"Spring Chinook","SSTarc","win",0.67,0.71,0.94,0.98,0.14,-0.04
"Fall Chinook","CMISST","aut",0.73,0.66,0.92,0.84,0.21,0.4
"Fall Chinook","CMISST","spr",0.65,0.61,0.81,0.8,0.44,0.46
"Fall Chinook","CMISST","sum",0.68,0.6,0.86,0.78,0.38,0.48
